,value2,value,count,raw_left_value,raw_left_value2,variable,variable2
0,-2.392 - -1.791,-2.392 - -1.791,0.05089963282135561,-2.392,-2.392,logPOP,logPOP
11,-1.791 - -1.19,-1.791 - -1.19,0.16966544273785214,-1.791,-1.791,logPOP,logPOP
22,-1.19 - -0.5885,-1.19 - -0.5885,0.6362454102669456,-1.19,-1.19,logPOP,logPOP
33,-0.5885 - 0.01286,-0.5885 - 0.01286,0.7974275808679047,-0.5885,-0.5885,logPOP,logPOP
44,0.01286 - 0.6142,0.01286 - 0.6142,0.39023051829705974,0.01286,0.01286,logPOP,logPOP
55,0.6142 - 1.216,0.6142 - 1.216,0.3562974297494898,0.6142,0.6142,logPOP,logPOP
66,1.216 - 1.817,1.216 - 1.817,0.2460148919698851,1.216,1.216,logPOP,logPOP
77,1.817 - 2.418,1.817 - 2.418,0.07634944923203353,1.817,1.817,logPOP,logPOP
88,2.418 - 3.019,2.418 - 3.019,0.025449816410677843,2.418,2.418,logPOP,logPOP
99,3.019 - 3.621,3.019 - 3.621,0.016966544273785154,3.019,3.019,logPOP,logPOP
0,-2.357 - -1.9,-2.392 - -1.791,0.0334653528449547,-2.392,-2.357,logPOP,dPOP
1,-1.9 - -1.442,-2.392 - -1.791,0.011155117614984906,-2.392,-1.9,logPOP,dPOP
3,-0.9851 - -0.5278,-2.392 - -1.791,0.011155117614984902,-2.392,-0.9851,logPOP,dPOP
10,-2.357 - -1.9,-1.791 - -1.19,0.011155117614984902,-1.791,-2.357,logPOP,dPOP
11,-1.9 - -1.442,-1.791 - -1.19,0.02231023522996981,-1.791,-1.9,logPOP,dPOP
12,-1.442 - -0.9851,-1.791 - -1.19,0.07808582330489434,-1.791,-1.442,logPOP,dPOP
13,-0.9851 - -0.5278,-1.791 - -1.19,0.0334653528449547,-1.791,-0.9851,logPOP,dPOP
14,-0.5278 - -0.07046,-1.791 - -1.19,0.022310235229969805,-1.791,-0.5278,logPOP,dPOP
16,0.3868 - 0.8441,-1.791 - -1.19,0.011155117614984892,-1.791,0.3868,logPOP,dPOP
20,-2.357 - -1.9,-1.19 - -0.5885,0.022310235229969805,-1.19,-2.357,logPOP,dPOP
21,-1.9 - -1.442,-1.19 - -0.5885,0.05577558807492452,-1.19,-1.9,logPOP,dPOP
22,-1.442 - -0.9851,-1.19 - -0.5885,0.20079211706972827,-1.19,-1.442,logPOP,dPOP
23,-0.9851 - -0.5278,-1.19 - -0.5885,0.11155117614984901,-1.19,-0.9851,logPOP,dPOP
24,-0.5278 - -0.07046,-1.19 - -0.5885,0.011155117614984902,-1.19,-0.5278,logPOP,dPOP
26,0.3868 - 0.8441,-1.19 - -0.5885,0.03346535284495468,-1.19,0.3868,logPOP,dPOP
27,0.8441 - 1.301,-1.19 - -0.5885,0.02231023522996982,-1.19,0.8441,logPOP,dPOP
31,-1.9 - -1.442,-0.5885 - 0.01286,0.033465352844954714,-0.5885,-1.9,logPOP,dPOP
32,-1.442 - -0.9851,-0.5885 - 0.01286,0.06693070568990943,-0.5885,-1.442,logPOP,dPOP
33,-0.9851 - -0.5278,-0.5885 - 0.01286,0.3011881756045923,-0.5885,-0.9851,logPOP,dPOP
34,-0.5278 - -0.07046,-0.5885 - 0.01286,0.0780858233048943,-0.5885,-0.5278,logPOP,dPOP
35,-0.07046 - 0.3868,-0.5885 - 0.01286,0.01115511761498491,-0.5885,-0.07046,logPOP,dPOP
36,0.3868 - 0.8441,-0.5885 - 0.01286,0.011155117614984892,-0.5885,0.3868,logPOP,dPOP
38,1.301 - 1.759,-0.5885 - 0.01286,0.02231023522996982,-0.5885,1.301,logPOP,dPOP
41,-1.9 - -1.442,0.01286 - 0.6142,0.033465352844954714,0.01286,-1.9,logPOP,dPOP
42,-1.442 - -0.9851,0.01286 - 0.6142,0.1784818818397585,0.01286,-1.442,logPOP,dPOP
43,-0.9851 - -0.5278,0.01286 - 0.6142,0.22310235229969802,0.01286,-0.9851,logPOP,dPOP
44,-0.5278 - -0.07046,0.01286 - 0.6142,0.12270629376483391,0.01286,-0.5278,logPOP,dPOP
45,-0.07046 - 0.3868,0.01286 - 0.6142,0.03346535284495473,0.01286,-0.07046,logPOP,dPOP
46,0.3868 - 0.8441,0.01286 - 0.6142,0.022310235229969784,0.01286,0.3868,logPOP,dPOP
47,0.8441 - 1.301,0.01286 - 0.6142,0.01115511761498491,0.01286,0.8441,logPOP,dPOP
51,-1.9 - -1.442,0.6142 - 1.216,0.033465352844954714,0.6142,-1.9,logPOP,dPOP
52,-1.442 - -0.9851,0.6142 - 1.216,0.11155117614984904,0.6142,-1.442,logPOP,dPOP
53,-0.9851 - -0.5278,0.6142 - 1.216,0.12270629376483391,0.6142,-0.9851,logPOP,dPOP
54,-0.5278 - -0.07046,0.6142 - 1.216,0.10039605853486412,0.6142,-0.5278,logPOP,dPOP
55,-0.07046 - 0.3868,0.6142 - 1.216,0.05577558807492454,0.6142,-0.07046,logPOP,dPOP
56,0.3868 - 0.8441,0.6142 - 1.216,0.011155117614984892,0.6142,0.3868,logPOP,dPOP
57,0.8441 - 1.301,0.6142 - 1.216,0.01115511761498491,0.6142,0.8441,logPOP,dPOP
59,1.759 - 2.216,0.6142 - 1.216,0.011155117614984885,0.6142,1.759,logPOP,dPOP
61,-1.9 - -1.442,1.216 - 1.817,0.011155117614984906,1.216,-1.9,logPOP,dPOP
62,-1.442 - -0.9851,1.216 - 1.817,0.10039605853486414,1.216,-1.442,logPOP,dPOP
63,-0.9851 - -0.5278,1.216 - 1.817,0.11155117614984901,1.216,-0.9851,logPOP,dPOP
64,-0.5278 - -0.07046,1.216 - 1.817,0.04462047045993961,1.216,-0.5278,logPOP,dPOP
65,-0.07046 - 0.3868,1.216 - 1.817,0.08924094091987927,1.216,-0.07046,logPOP,dPOP
66,0.3868 - 0.8441,1.216 - 1.817,0.03346535284495468,1.216,0.3868,logPOP,dPOP
67,0.8441 - 1.301,1.216 - 1.817,0.02231023522996982,1.216,0.8441,logPOP,dPOP
68,1.301 - 1.759,1.216 - 1.817,0.01115511761498491,1.216,1.301,logPOP,dPOP
71,-1.9 - -1.442,1.817 - 2.418,0.02231023522996981,1.817,-1.9,logPOP,dPOP
72,-1.442 - -0.9851,1.817 - 2.418,0.08924094091987925,1.817,-1.442,logPOP,dPOP
73,-0.9851 - -0.5278,1.817 - 2.418,0.12270629376483391,1.817,-0.9851,logPOP,dPOP
74,-0.5278 - -0.07046,1.817 - 2.418,0.04462047045993961,1.817,-0.5278,logPOP,dPOP
75,-0.07046 - 0.3868,1.817 - 2.418,0.14501652899480383,1.817,-0.07046,logPOP,dPOP
76,0.3868 - 0.8441,1.817 - 2.418,0.07808582330489425,1.817,0.3868,logPOP,dPOP
77,0.8441 - 1.301,1.817 - 2.418,0.01115511761498491,1.817,0.8441,logPOP,dPOP
79,1.759 - 2.216,1.817 - 2.418,0.011155117614984885,1.817,1.759,logPOP,dPOP
82,-1.442 - -0.9851,2.418 - 3.019,0.011155117614984906,2.418,-1.442,logPOP,dPOP
83,-0.9851 - -0.5278,2.418 - 3.019,0.011155117614984902,2.418,-0.9851,logPOP,dPOP
84,-0.5278 - -0.07046,2.418 - 3.019,0.0669307056899094,2.418,-0.5278,logPOP,dPOP
85,-0.07046 - 0.3868,2.418 - 3.019,0.06693070568990946,2.418,-0.07046,logPOP,dPOP
86,0.3868 - 0.8441,2.418 - 3.019,0.06693070568990936,2.418,0.3868,logPOP,dPOP
87,0.8441 - 1.301,2.418 - 3.019,0.02231023522996982,2.418,0.8441,logPOP,dPOP
94,-0.5278 - -0.07046,3.019 - 3.621,0.022310235229969826,3.019,-0.5278,logPOP,dPOP
95,-0.07046 - 0.3868,3.019 - 3.621,0.06693070568990951,3.019,-0.07046,logPOP,dPOP
96,0.3868 - 0.8441,3.019 - 3.621,0.05577558807492452,3.019,0.3868,logPOP,dPOP
2,-1.308 - -0.6268,-2.392 - -1.791,0.014968297953318893,-2.392,-1.308,logPOP,0-19
10,-2.672 - -1.99,-1.791 - -1.19,0.022452446929978328,-1.791,-2.672,logPOP,0-19
11,-1.99 - -1.308,-1.791 - -1.19,0.029936595906637786,-1.791,-1.99,logPOP,0-19
12,-1.308 - -0.6268,-1.791 - -1.19,0.05238904283661611,-1.791,-1.308,logPOP,0-19
13,-0.6268 - 0.05478,-1.791 - -1.19,0.059873191813275536,-1.791,-0.6268,logPOP,0-19
14,0.05478 - 0.7364,-1.791 - -1.19,0.022452446929978328,-1.791,0.05478,logPOP,0-19
15,0.7364 - 1.418,-1.791 - -1.19,0.007484148976659447,-1.791,0.7364,logPOP,0-19
16,1.418 - 2.1,-1.791 - -1.19,0.007484148976659437,-1.791,1.418,logPOP,0-19
20,-2.672 - -1.99,-1.19 - -0.5885,0.01496829795331889,-1.19,-2.672,logPOP,0-19
21,-1.99 - -1.308,-1.19 - -0.5885,0.044904893859956684,-1.19,-1.99,logPOP,0-19
22,-1.308 - -0.6268,-1.19 - -0.5885,0.13471468157987004,-1.19,-1.308,logPOP,0-19
23,-0.6268 - 0.05478,-1.19 - -0.5885,0.15716712850984835,-1.19,-0.6268,logPOP,0-19
24,0.05478 - 0.7364,-1.19 - -0.5885,0.037420744883297226,-1.19,0.05478,logPOP,0-19
25,0.7364 - 1.418,-1.19 - -0.5885,0.0299365959066378,-1.19,0.7364,logPOP,0-19
26,1.418 - 2.1,-1.19 - -0.5885,0.04490489385995664,-1.19,1.418,logPOP,0-19
27,2.1 - 2.781,-1.19 - -0.5885,0.00748414897665945,-1.19,2.1,logPOP,0-19
30,-2.672 - -1.99,-0.5885 - 0.01286,0.00748414897665944,-0.5885,-2.672,logPOP,0-19
31,-1.99 - -1.308,-0.5885 - 0.01286,0.03742074488329721,-0.5885,-1.99,logPOP,0-19
32,-1.308 - -0.6268,-0.5885 - 0.01286,0.14968297953318885,-0.5885,-1.308,logPOP,0-19
33,-0.6268 - 0.05478,-0.5885 - 0.01286,0.2394927672531021,-0.5885,-0.6268,logPOP,0-19
34,0.05478 - 0.7364,-0.5885 - 0.01286,0.08980978771991328,-0.5885,0.05478,logPOP,0-19
35,0.7364 - 1.418,-0.5885 - 0.01286,0.05238904283661611,-0.5885,0.7364,logPOP,0-19
36,1.418 - 2.1,-0.5885 - 0.01286,0.04490489385995661,-0.5885,1.418,logPOP,0-19
37,2.1 - 2.781,-0.5885 - 0.01286,0.022452446929978335,-0.5885,2.1,logPOP,0-19
38,2.781 - 3.463,-0.5885 - 0.01286,0.007484148976659445,-0.5885,2.781,logPOP,0-19
41,-1.99 - -1.308,0.01286 - 0.6142,0.029936595906637775,0.01286,-1.99,logPOP,0-19
42,-1.308 - -0.6268,0.01286 - 0.6142,0.1197463836265511,0.01286,-1.308,logPOP,0-19
43,-0.6268 - 0.05478,0.01286 - 0.6142,0.14968297953318882,0.01286,-0.6268,logPOP,0-19
44,0.05478 - 0.7364,0.01286 - 0.6142,0.10477808567323216,0.01286,0.05478,logPOP,0-19
45,0.7364 - 1.418,0.01286 - 0.6142,0.0972939366965728,0.01286,0.7364,logPOP,0-19
46,1.418 - 2.1,0.01286 - 0.6142,0.03742074488329717,0.01286,1.418,logPOP,0-19
47,2.1 - 2.781,0.01286 - 0.6142,0.007484148976659445,0.01286,2.1,logPOP,0-19
48,2.781 - 3.463,0.01286 - 0.6142,0.01496829795331889,0.01286,2.781,logPOP,0-19
52,-1.308 - -0.6268,0.6142 - 1.216,0.07484148976659452,0.6142,-1.308,logPOP,0-19
53,-0.6268 - 0.05478,0.6142 - 1.216,0.07484148976659451,0.6142,-0.6268,logPOP,0-19
54,0.05478 - 0.7364,0.6142 - 1.216,0.0598731918132756,0.6142,0.05478,logPOP,0-19
55,0.7364 - 1.418,0.6142 - 1.216,0.08232563874325402,0.6142,0.7364,logPOP,0-19
56,1.418 - 2.1,0.6142 - 1.216,0.03742074488329722,0.6142,1.418,logPOP,0-19
57,2.1 - 2.781,0.6142 - 1.216,0.022452446929978366,0.6142,2.1,logPOP,0-19
59,3.463 - 4.144,0.6142 - 1.216,0.0074841489766594394,0.6142,3.463,logPOP,0-19
61,-1.99 - -1.308,1.216 - 1.817,0.007484148976659444,1.216,-1.99,logPOP,0-19
62,-1.308 - -0.6268,1.216 - 1.817,0.014968297953318888,1.216,-1.308,logPOP,0-19
63,-0.6268 - 0.05478,1.216 - 1.817,0.00748414897665944,1.216,-0.6268,logPOP,0-19
64,0.05478 - 0.7364,1.216 - 1.817,0.01496829795331888,1.216,0.05478,logPOP,0-19
65,0.7364 - 1.418,1.216 - 1.817,0.04490489385995667,1.216,0.7364,logPOP,0-19
66,1.418 - 2.1,1.216 - 1.817,0.04490489385995661,1.216,1.418,logPOP,0-19
73,-0.6268 - 0.05478,1.817 - 2.418,0.00748414897665944,1.817,-0.6268,logPOP,0-19
74,0.05478 - 0.7364,1.817 - 2.418,0.00748414897665944,1.817,0.05478,logPOP,0-19
77,2.1 - 2.781,1.817 - 2.418,0.007484148976659445,1.817,2.1,logPOP,0-19
79,3.463 - 4.144,1.817 - 2.418,0.00748414897665943,1.817,3.463,logPOP,0-19
93,-0.6268 - 0.05478,3.019 - 3.621,0.00748414897665945,3.019,-0.6268,logPOP,0-19
94,0.05478 - 0.7364,3.019 - 3.621,0.00748414897665945,3.019,0.05478,logPOP,0-19
0,-1.48 - -0.9424,-2.392 - -1.791,0.03793254565991663,-2.392,-1.48,logPOP,20-39
1,-0.9424 - -0.4045,-2.392 - -1.791,0.056898818489874964,-2.392,-0.9424,logPOP,20-39
2,-0.4045 - 0.1334,-2.392 - -1.791,0.14224704622468742,-2.392,-0.4045,logPOP,20-39
3,0.1334 - 0.6714,-2.392 - -1.791,0.14224704622468737,-2.392,0.1334,logPOP,20-39
4,0.6714 - 1.209,-2.392 - -1.791,0.03793254565991663,-2.392,0.6714,logPOP,20-39
5,1.209 - 1.747,-2.392 - -1.791,0.009483136414979165,-2.392,1.209,logPOP,20-39
6,1.747 - 2.285,-2.392 - -1.791,0.018966272829958303,-2.392,1.747,logPOP,20-39
10,-1.48 - -0.9424,-1.791 - -1.19,0.009483136414979158,-1.791,-1.48,logPOP,20-39
11,-0.9424 - -0.4045,-1.791 - -1.19,0.03793254565991665,-1.791,-0.9424,logPOP,20-39
12,-0.4045 - 0.1334,-1.791 - -1.19,0.25604468320443735,-1.791,-0.4045,logPOP,20-39
13,0.1334 - 0.6714,-1.791 - -1.19,0.33190977452427056,-1.791,0.1334,logPOP,20-39
14,0.6714 - 1.209,-1.791 - -1.19,0.0663819549048541,-1.791,0.6714,logPOP,20-39
15,1.209 - 1.747,-1.791 - -1.19,0.009483136414979165,-1.791,1.209,logPOP,20-39
16,1.747 - 2.285,-1.791 - -1.19,0.037932545659916606,-1.791,1.747,logPOP,20-39
17,2.285 - 2.823,-1.791 - -1.19,0.028449409244937492,-1.791,2.285,logPOP,20-39
20,-1.48 - -0.9424,-1.19 - -0.5885,0.009483136414979158,-1.19,-1.48,logPOP,20-39
21,-0.9424 - -0.4045,-1.19 - -0.5885,0.0758650913198333,-1.19,-0.9424,logPOP,20-39
22,-0.4045 - 0.1334,-1.19 - -0.5885,0.23707841037447908,-1.19,-0.4045,logPOP,20-39
23,0.1334 - 0.6714,-1.19 - -0.5885,0.23707841037447897,-1.19,0.1334,logPOP,20-39
24,0.6714 - 1.209,-1.19 - -0.5885,0.15173018263966653,-1.19,0.6714,logPOP,20-39
25,1.209 - 1.747,-1.19 - -0.5885,0.06638195490485414,-1.19,1.209,logPOP,20-39
26,1.747 - 2.285,-1.19 - -0.5885,0.05689881848987491,-1.19,1.747,logPOP,20-39
28,2.823 - 3.361,-1.19 - -0.5885,0.009483136414979165,-1.19,2.823,logPOP,20-39
29,3.361 - 3.899,-1.19 - -0.5885,0.009483136414979144,-1.19,3.361,logPOP,20-39
31,-0.9424 - -0.4045,-0.5885 - 0.01286,0.018966272829958324,-0.5885,-0.9424,logPOP,20-39
32,-0.4045 - 0.1334,-0.5885 - 0.01286,0.028449409244937482,-0.5885,-0.4045,logPOP,20-39
33,0.1334 - 0.6714,-0.5885 - 0.01286,0.08534822773481243,-0.5885,0.1334,logPOP,20-39
34,0.6714 - 1.209,-0.5885 - 0.01286,0.05689881848987494,-0.5885,0.6714,logPOP,20-39
35,1.209 - 1.747,-0.5885 - 0.01286,0.15173018263966664,-0.5885,1.209,logPOP,20-39
36,1.747 - 2.285,-0.5885 - 0.01286,0.028449409244937454,-0.5885,1.747,logPOP,20-39
37,2.285 - 2.823,-0.5885 - 0.01286,0.01896627282995833,-0.5885,2.285,logPOP,20-39
38,2.823 - 3.361,-0.5885 - 0.01286,0.009483136414979165,-0.5885,2.823,logPOP,20-39
42,-0.4045 - 0.1334,0.01286 - 0.6142,0.03793254565991665,0.01286,-0.4045,logPOP,20-39
43,0.1334 - 0.6714,0.01286 - 0.6142,0.0663819549048541,0.01286,0.1334,logPOP,20-39
44,0.6714 - 1.209,0.01286 - 0.6142,0.09483136414979158,0.01286,0.6714,logPOP,20-39
45,1.209 - 1.747,0.01286 - 0.6142,0.03793254565991666,0.01286,1.209,logPOP,20-39
46,1.747 - 2.285,0.01286 - 0.6142,0.037932545659916606,0.01286,1.747,logPOP,20-39
54,0.6714 - 1.209,0.6142 - 1.216,0.018966272829958317,0.6142,0.6714,logPOP,20-39
55,1.209 - 1.747,0.6142 - 1.216,0.03793254565991666,0.6142,1.209,logPOP,20-39
56,1.747 - 2.285,0.6142 - 1.216,0.009483136414979151,0.6142,1.747,logPOP,20-39
57,2.285 - 2.823,0.6142 - 1.216,0.009483136414979165,0.6142,2.285,logPOP,20-39
58,2.823 - 3.361,0.6142 - 1.216,0.009483136414979165,0.6142,2.823,logPOP,20-39
59,3.361 - 3.899,0.6142 - 1.216,0.009483136414979144,0.6142,3.361,logPOP,20-39
62,-0.4045 - 0.1334,1.216 - 1.817,0.009483136414979162,1.216,-0.4045,logPOP,20-39
63,0.1334 - 0.6714,1.216 - 1.817,0.018966272829958317,1.216,0.1334,logPOP,20-39
65,1.209 - 1.747,1.216 - 1.817,0.056898818489874985,1.216,1.209,logPOP,20-39
66,1.747 - 2.285,1.216 - 1.817,0.028449409244937454,1.216,1.747,logPOP,20-39
67,2.285 - 2.823,1.216 - 1.817,0.009483136414979165,1.216,2.285,logPOP,20-39
73,0.1334 - 0.6714,1.817 - 2.418,0.009483136414979158,1.817,0.1334,logPOP,20-39
74,0.6714 - 1.209,1.817 - 2.418,0.009483136414979158,1.817,0.6714,logPOP,20-39
75,1.209 - 1.747,1.817 - 2.418,0.009483136414979165,1.817,1.209,logPOP,20-39
76,1.747 - 2.285,1.817 - 2.418,0.018966272829958303,1.817,1.747,logPOP,20-39
77,2.285 - 2.823,1.817 - 2.418,0.009483136414979165,1.817,2.285,logPOP,20-39
85,1.209 - 1.747,2.418 - 3.019,0.009483136414979157,2.418,1.209,logPOP,20-39
86,1.747 - 2.285,2.418 - 3.019,0.018966272829958285,2.418,1.747,logPOP,20-39
87,2.285 - 2.823,2.418 - 3.019,0.009483136414979157,2.418,2.285,logPOP,20-39
95,1.209 - 1.747,3.019 - 3.621,0.009483136414979174,3.019,1.209,logPOP,20-39
96,1.747 - 2.285,3.019 - 3.621,0.018966272829958317,3.019,1.747,logPOP,20-39
3,-1.842 - -1.259,-2.392 - -1.791,0.008751064437124726,-2.392,-1.842,logPOP,40-59
6,-0.09353 - 0.4894,-2.392 - -1.791,0.01750212887424944,-2.392,-0.09353,logPOP,40-59
7,0.4894 - 1.072,-2.392 - -1.791,0.008751064437124733,-2.392,0.4894,logPOP,40-59
12,-2.425 - -1.842,-1.791 - -1.19,0.00875106443712473,-1.791,-2.425,logPOP,40-59
13,-1.842 - -1.259,-1.791 - -1.19,0.017502128874249453,-1.791,-1.842,logPOP,40-59
15,-0.6765 - -0.09353,-1.791 - -1.19,0.026253193311374195,-1.791,-0.6765,logPOP,40-59
16,-0.09353 - 0.4894,-1.791 - -1.19,0.01750212887424944,-1.791,-0.09353,logPOP,40-59
17,0.4894 - 1.072,-1.791 - -1.19,0.008751064437124733,-1.791,0.4894,logPOP,40-59
24,-1.259 - -0.6765,-1.19 - -0.5885,0.008751064437124721,-1.19,-1.259,logPOP,40-59
25,-0.6765 - -0.09353,-1.19 - -0.5885,0.008751064437124726,-1.19,-0.6765,logPOP,40-59
26,-0.09353 - 0.4894,-1.19 - -0.5885,0.017502128874249425,-1.19,-0.09353,logPOP,40-59
27,0.4894 - 1.072,-1.19 - -0.5885,0.008751064437124726,-1.19,0.4894,logPOP,40-59
29,1.655 - 2.238,-1.19 - -0.5885,0.008751064437124707,-1.19,1.655,logPOP,40-59
31,-3.008 - -2.425,-0.5885 - 0.01286,0.00875106443712473,-0.5885,-3.008,logPOP,40-59
33,-1.842 - -1.259,-0.5885 - 0.01286,0.02625319331137418,-0.5885,-1.842,logPOP,40-59
34,-1.259 - -0.6765,-0.5885 - 0.01286,0.035004257748498906,-0.5885,-1.259,logPOP,40-59
35,-0.6765 - -0.09353,-0.5885 - 0.01286,0.026253193311374195,-0.5885,-0.6765,logPOP,40-59
36,-0.09353 - 0.4894,-0.5885 - 0.01286,0.01750212887424944,-0.5885,-0.09353,logPOP,40-59
37,0.4894 - 1.072,-0.5885 - 0.01286,0.008751064437124733,-0.5885,0.4894,logPOP,40-59
38,1.072 - 1.655,-0.5885 - 0.01286,0.008751064437124733,-0.5885,1.072,logPOP,40-59
41,-3.008 - -2.425,0.01286 - 0.6142,0.00875106443712473,0.01286,-3.008,logPOP,40-59
42,-2.425 - -1.842,0.01286 - 0.6142,0.03500425774849892,0.01286,-2.425,logPOP,40-59
43,-1.842 - -1.259,0.01286 - 0.6142,0.043755322185623634,0.01286,-1.842,logPOP,40-59
44,-1.259 - -0.6765,0.01286 - 0.6142,0.05250638662274836,0.01286,-1.259,logPOP,40-59
45,-0.6765 - -0.09353,0.01286 - 0.6142,0.06125745105987313,0.01286,-0.6765,logPOP,40-59
46,-0.09353 - 0.4894,0.01286 - 0.6142,0.026253193311374157,0.01286,-0.09353,logPOP,40-59
47,0.4894 - 1.072,0.01286 - 0.6142,0.008751064437124733,0.01286,0.4894,logPOP,40-59
50,-3.591 - -3.008,0.6142 - 1.216,0.008751064437124721,0.6142,-3.591,logPOP,40-59
51,-3.008 - -2.425,0.6142 - 1.216,0.02625319331137417,0.6142,-3.008,logPOP,40-59
52,-2.425 - -1.842,0.6142 - 1.216,0.09626170880837197,0.6142,-2.425,logPOP,40-59
53,-1.842 - -1.259,0.6142 - 1.216,0.19252341761674385,0.6142,-1.842,logPOP,40-59
54,-1.259 - -0.6765,0.6142 - 1.216,0.06125745105987303,0.6142,-1.259,logPOP,40-59
55,-0.6765 - -0.09353,0.6142 - 1.216,0.1312659665568709,0.6142,-0.6765,logPOP,40-59
56,-0.09353 - 0.4894,0.6142 - 1.216,0.061257451059873,0.6142,-0.09353,logPOP,40-59
57,0.4894 - 1.072,0.6142 - 1.216,0.008751064437124726,0.6142,0.4894,logPOP,40-59
58,1.072 - 1.655,0.6142 - 1.216,0.008751064437124726,0.6142,1.072,logPOP,40-59
60,-3.591 - -3.008,1.216 - 1.817,0.008751064437124733,1.216,-3.591,logPOP,40-59
61,-3.008 - -2.425,1.216 - 1.817,0.05250638662274842,1.216,-3.008,logPOP,40-59
62,-2.425 - -1.842,1.216 - 1.817,0.1925234176167442,1.216,-2.425,logPOP,40-59
63,-1.842 - -1.259,1.216 - 1.817,0.21002554649099361,1.216,-1.842,logPOP,40-59
64,-1.259 - -0.6765,1.216 - 1.817,0.14876809543112046,1.216,-1.259,logPOP,40-59
65,-0.6765 - -0.09353,1.216 - 1.817,0.08751064437124739,1.216,-0.6765,logPOP,40-59
66,-0.09353 - 0.4894,1.216 - 1.817,0.04375532218562363,1.216,-0.09353,logPOP,40-59
67,0.4894 - 1.072,1.216 - 1.817,0.00875106443712474,1.216,0.4894,logPOP,40-59
68,1.072 - 1.655,1.216 - 1.817,0.00875106443712474,1.216,1.072,logPOP,40-59
70,-3.591 - -3.008,1.817 - 2.418,0.026253193311374157,1.817,-3.591,logPOP,40-59
71,-3.008 - -2.425,1.817 - 2.418,0.05250638662274834,1.817,-3.008,logPOP,40-59
72,-2.425 - -1.842,1.817 - 2.418,0.2012744820538686,1.817,-2.425,logPOP,40-59
73,-1.842 - -1.259,1.817 - 2.418,0.23627873980236747,1.817,-1.842,logPOP,40-59
74,-1.259 - -0.6765,1.817 - 2.418,0.05250638662274831,1.817,-1.259,logPOP,40-59
75,-0.6765 - -0.09353,1.817 - 2.418,0.02625319331137418,1.817,-0.6765,logPOP,40-59
76,-0.09353 - 0.4894,1.817 - 2.418,0.052506386622748286,1.817,-0.09353,logPOP,40-59
77,0.4894 - 1.072,1.817 - 2.418,0.017502128874249453,1.817,0.4894,logPOP,40-59
79,1.655 - 2.238,1.817 - 2.418,0.008751064437124707,1.817,1.655,logPOP,40-59
80,-3.591 - -3.008,2.418 - 3.019,0.008751064437124721,2.418,-3.591,logPOP,40-59
81,-3.008 - -2.425,2.418 - 3.019,0.02625319331137417,2.418,-3.008,logPOP,40-59
82,-2.425 - -1.842,2.418 - 3.019,0.09626170880837197,2.418,-2.425,logPOP,40-59
83,-1.842 - -1.259,2.418 - 3.019,0.07875957993412248,2.418,-1.842,logPOP,40-59
84,-1.259 - -0.6765,2.418 - 3.019,0.035004257748498885,2.418,-1.259,logPOP,40-59
92,-2.425 - -1.842,3.019 - 3.621,0.02625319331137421,3.019,-2.425,logPOP,40-59
93,-1.842 - -1.259,3.019 - 3.621,0.008751064437124733,3.019,-1.842,logPOP,40-59
94,-1.259 - -0.6765,3.019 - 3.621,0.008751064437124733,3.019,-1.259,logPOP,40-59
5,-0.1766 - 0.3648,-2.392 - -1.791,0.009422208495633771,-2.392,-0.1766,logPOP,60-79
6,0.3648 - 0.9062,-2.392 - -1.791,0.028266625486901273,-2.392,0.3648,logPOP,60-79
13,-1.259 - -0.718,-1.791 - -1.19,0.009422208495633761,-1.791,-1.259,logPOP,60-79
14,-0.718 - -0.1766,-1.791 - -1.19,0.018844416991267522,-1.791,-0.718,logPOP,60-79
15,-0.1766 - 0.3648,-1.791 - -1.19,0.04711104247816884,-1.791,-0.1766,logPOP,60-79
16,0.3648 - 0.9062,-1.791 - -1.19,0.01884441699126751,-1.791,0.3648,logPOP,60-79
17,0.9062 - 1.448,-1.791 - -1.19,0.009422208495633768,-1.791,0.9062,logPOP,60-79
22,-1.801 - -1.259,-1.19 - -0.5885,0.009422208495633765,-1.19,-1.801,logPOP,60-79
23,-1.259 - -0.718,-1.19 - -0.5885,0.018844416991267522,-1.19,-1.259,logPOP,60-79
24,-0.718 - -0.1766,-1.19 - -0.5885,0.0471110424781688,-1.19,-0.718,logPOP,60-79
25,-0.1766 - 0.3648,-1.19 - -0.5885,0.0565332509738026,-1.19,-0.1766,logPOP,60-79
26,0.3648 - 0.9062,-1.19 - -0.5885,0.06595545946943628,-1.19,0.3648,logPOP,60-79
27,0.9062 - 1.448,-1.19 - -0.5885,0.009422208495633768,-1.19,0.9062,logPOP,60-79
29,1.989 - 2.53,-1.19 - -0.5885,0.009422208495633747,-1.19,1.989,logPOP,60-79
31,-2.342 - -1.801,-0.5885 - 0.01286,0.009422208495633768,-0.5885,-2.342,logPOP,60-79
32,-1.801 - -1.259,-0.5885 - 0.01286,0.04711104247816884,-0.5885,-1.801,logPOP,60-79
33,-1.259 - -0.718,-0.5885 - 0.01286,0.06595545946943634,-0.5885,-1.259,logPOP,60-79
34,-0.718 - -0.1766,-0.5885 - 0.01286,0.04711104247816883,-0.5885,-0.718,logPOP,60-79
35,-0.1766 - 0.3648,-0.5885 - 0.01286,0.08479987646070394,-0.5885,-0.1766,logPOP,60-79
